id,name,first_name,sexe,phone_number,address,email,last_school_name
1,Name 1,First name 1,mal,72803037,Bambari – Secteur,mapoukacyr@gmail.com,LAENS
,Name 2,First name 2,mal,72803038,Bambari – Secteur,mapoukacyr@gmail.com,LAENS
,Name 3,First name 3,mal,72803039,Bambari – Secteur,mapoukacyr@gmail.com,LAENS
,Name 4,First name 4,mal,72803040,Bambari – Secteur,mapoukacyr@gmail.com,LAENS
,Name 5,First name 5,mal,72803041,Bambari – Secteur,mapoukacyr@gmail.com,LAENS
,Name 6,First name 6,mal,72803042,Bambari – Secteur,mapoukacyr@gmail.com,LAENS
,Name 7,First name 7,mal,72803043,Bambari – Secteur,mapoukacyr@gmail.com,LAENS
,Name 8,First name 8,mal,72803044,Bambari – Secteur,mapoukacyr@gmail.com,LAENS
,Name 9,First name 9,mal,72803045,Bambari – Secteur,mapoukacyr@gmail.com,LAENS
,Name 10,First name 10,mal,72803046,Bambari – Secteur,mapoukacyr@gmail.com,LAENS
,Name 11,First name 11,mal,72803047,Bambari – Secteur,mapoukacyr@gmail.com,LAENS
,Name 12,First name 12,mal,72803048,Bambari – Secteur,mapoukacyr@gmail.com,LAENS
,Name 13,First name 13,mal,72803049,Bambari – Secteur,mapoukacyr@gmail.com,LAENS
,Name 14,First name 14,mal,72803050,Bambari – Secteur,mapoukacyr@gmail.com,LAENS
,Name 15,First name 15,mal,72803051,Bambari – Secteur,mapoukacyr@gmail.com,LAENS
,Name 16,First name 16,mal,72803052,Bambari – Secteur,mapoukacyr@gmail.com,LAENS
,Name 17,First name 17,mal,72803053,Bambari – Secteur,mapoukacyr@gmail.com,LAENS
,Name 18,First name 18,mal,72803054,Bambari – Secteur,mapoukacyr@gmail.com,LAENS
,Name 19,First name 19,mal,72803055,Bambari – Secteur,mapoukacyr@gmail.com,LAENS
,Name 20,First name 20,mal,72803056,Bambari – Secteur,mapoukacyr@gmail.com,LAENS
,Name 21,First name 21,mal,72803057,Bambari – Secteur,mapoukacyr@gmail.com,LAENS
,Name 22,First name 22,mal,72803058,Bambari – Secteur,mapoukacyr@gmail.com,LAENS
,Name 23,First name 23,mal,72803059,Bambari – Secteur,mapoukacyr@gmail.com,LAENS
,Name 24,First name 24,mal,72803060,Bambari – Secteur,mapoukacyr@gmail.com,LAENS
,Name 25,First name 25,mal,72803061,Bambari – Secteur,mapoukacyr@gmail.com,LAENS
,Name 26,First name 26,mal,72803062,Bambari – Secteur,mapoukacyr@gmail.com,LAENS
,Name 27,First name 27,mal,72803063,Bambari – Secteur,mapoukacyr@gmail.com,LAENS
,Name 28,First name 28,mal,72803064,Bambari – Secteur,mapoukacyr@gmail.com,LAENS
,Name 29,First name 29,mal,72803065,Bambari – Secteur,mapoukacyr@gmail.com,LAENS
,Name 30,First name 30,mal,72803066,Bambari – Secteur,mapoukacyr@gmail.com,LAENS
,Name 31,First name 31,mal,72803067,Bambari – Secteur,mapoukacyr@gmail.com,LAENS
,Name 32,First name 32,mal,72803068,Bambari – Secteur,mapoukacyr@gmail.com,LAENS
,Name 33,First name 33,mal,72803069,Bambari – Secteur,mapoukacyr@gmail.com,LAENS
